roi_name,roi_colour,  no_roi_pixels,  roi_size[um^2],Dead_Time-mean[%], Dead_Time-median,  Dead_Time-max,  Dead_Time-min,  Dead_Time-total,  Dead_Time-total_content,  Dead_Time-stddev, Dead_Time-stddev_radius2,  abs_ic-mean[], abs_ic-median,  abs_ic-max,  abs_ic-min,  abs_ic-total,  abs_ic-total_content,  abs_ic-stddev, abs_ic-stddev_radius2,  P-mean[ug/cm2], P-median,  P-max,  P-min,  P-total,  P-total_content,  P-stddev, P-stddev_radius2,  S-mean[ug/cm2], S-median,  S-max,  S-min,  S-total,  S-total_content,  S-stddev, S-stddev_radius2,  Cl-mean[ug/cm2], Cl-median,  Cl-max,  Cl-min,  Cl-total,  Cl-total_content,  Cl-stddev, Cl-stddev_radius2,K-mean[ug/cm2], K-median,  K-max,  K-min,  K-total,  K-total_content,  K-stddev, K-stddev_radius2,  Ca-mean[ug/cm2], Ca-median,  Ca-max,  Ca-min,  Ca-total,  Ca-total_content,  Ca-stddev, Ca-stddev_radius2,  Mn-mean[ug/cm2], Mn-median,  Mn-max,  Mn-min,  Mn-total,  Mn-total_content,  Mn-stddev, Mn-stddev_radius2,  Fe-mean[ug/cm2], Fe-median,  Fe-max,  Fe-min,  Fe-total,  Fe-total_content,  Fe-stddev, Fe-stddev_radius2,Cu-mean[ug/cm2], Cu-median,  Cu-max,  Cu-min,  Cu-total,  Cu-total_content,  Cu-stddev, Cu-stddev_radius2,  Zn-mean[ug/cm2], Zn-median,  Zn-max,  Zn-min,  Zn-total,  Zn-total_content,  Zn-stddev, Zn-stddev_radius2,Se-mean[ug/cm2], Se-median,  Se-max,  Se-min,  Se-total,  Se-total_content,  Se-stddev, Se-stddev_radius2,  Br-mean[ug/cm2], Br-median,  Br-max,  Br-min,  Br-total,  Br-total_content,  Br-stddev, Br-stddev_radius2,Pb_L-mean[ug/cm2], Pb_L-median,  Pb_L-max,  Pb_L-min,  Pb_L-total,  Pb_L-total_content,  Pb_L-stddev, Pb_L-stddev_radius2,,
 rois\0003-1.roi.h500, (red),759,189750,2.3181074,2.1216333,12.407101,-1.4784932,1759.4437,4398608.7,2.1713382,2.1124165,0.76686192,0.76691169,0.7930283,0.73779529,582.04797,1455120.5,0.007884134,0.007714586,0.42711184,0.19499885,2.9180324,2.82E-09,324.1781,810444.71,0.52248049,0.48127545,1.4278006,1.3217984,4.4705324,0.007956735,1083.7006,2709251.7,0.7911997,0.7642414,0.46599134,0.43208739,1.7845912,0.00099908,353.68729,884218.57,0.365811,0.348971,0.051022351,0.011012281,0.63094223,2.03E-07,38.725964,96814.911,0.077113951,0.069066491,1.6434799,1.6251825,3.402101,0.57489681,1247.401,3118503,0.43525952,0.42708075,0.034579285,0.030445959,0.16940683,1.09E-07,26.245663,65614.194,0.030592085,0.028482051,0.34059414,0.33925876,0.677486,0.10018755,258.51093,646277.37,0.09697847,0.093368336,0.21533598,0.21264388,0.40277117,0.0456159,163.44009,408600.02,0.059734416,0.058155415,0.013989139,0.012771137,0.068192258,5.45E-09,10.617754,26544.392,0.012933268,0.012373854,0.006354348,0.00416667,0.030822389,8.76E-09,4.8229513,12057.375,0.006218505,0.005740452,0.005151345,0.00262523,0.038714468,1.27E-08,3.9098685,9774.6769,0.006319513,0.005832097,0.90368716,0.88894141,1.5662462,0.46209645,685.89838,1714746.4,0.20196427,0.19823129,, 
 rois\0004-2.roi.h500, (red),117,2925.01,5.2516972,3.4439743,19.061619,-2.3156524,614.44849,153612.58,4.2300113,3.9834325,0.72437564,0.72421688,0.74664682,0.70443743,84.751923,21188.048,0.00782205,0.007873446,0.25586467,0.071009569,1.5177854,6.38E-10,29.936167,7484.0628,0.38581475,0.34887972,0.10249936,0.017341444,1.1176007,0.002372749,11.992424,2998.1147,0.21991126,0.16199955,0.19837322,0.02841494,1.0187018,0.001909123,23.209669,5802.4331,0.25399822,0.24696699,0.074419425,0.004051118,1.1390424,0.000178145,8.7070732,2176.7744,0.17114654,0.081245695,0.016429401,0.002741327,0.14994283,0.000528365,1.9222399,480.56134,0.03558641,0.02629483,0.012274171,0.003058253,0.077667609,1.22E-07,1.4360783,359.02053,0.018948,0.016779179,0.065345298,0.059946179,0.20406501,0.000158306,7.6454015,1911.3554,0.047286072,0.045869368,0.047343021,0.047881812,0.12669535,0.00010201,5.539135,1384.7873,0.028781488,0.026606868,0.013543639,0.013505685,0.049856246,5.00E-05,1.5846057,396.15256,0.011935329,0.01152231,0.004770816,0.002606374,0.027359098,5.93E-09,0.55818534,139.54677,0.005834561,0.005277894,0.00484825,0.002233064,0.023558727,5.92E-13,0.5672453,141.81171,0.005864695,0.005493625,0.026502489,0.02224504,0.08703731,9.21E-07,3.1007915,775.2,0.022156844,0.021835707,,
 rois\0004-2.roi.h501, (green),205,5125.01,11.571338,11.867386,22.049921,3.0969203,2372.1238,593032.78,3.6479735,2.2448565,0.70922662,0.70903522,0.73062158,0.69009584,145.39143,36347.968,0.007652857,0.007148286,28.537476,27.972984,54.461315,4.0168395,5850.1826,1462549.9,11.664596,6.4557587,20.024286,20.359819,50.45311,2.2742922,4104.978,1026247.6,7.6368575,5.2050269,1.9231357,1.9156464,5.2916803,0.000789934,394.24283,98560.985,1.037418,0.86495236,68.72643,71.652359,113.48817,17.87454,14088.917,3522239.6,23.809981,10.272856,4.6754265,4.4214287,14.546741,0.013771213,958.4624,239616.29,2.316616,1.4740868,0.13030799,0.12225583,0.3649621,0.000372804,26.71315,6678.3035,0.0763673,0.06433215,0.3272237,0.27676174,1.3898848,0.000742299,67.080879,16770.263,0.22324657,0.15896392,0.21225474,0.20633817,0.43588856,0.025520714,43.512211,10878.087,0.086280634,0.066827262,0.47847408,0.47198573,1.0761292,0.079268806,98.087189,24521.867,0.18017453,0.12469756,0.008354829,0.005735816,0.036635775,2.78E-16,1.7127398,428.18621,0.008326685,0.008003667,0.20062312,0.19641684,0.46524197,0.053399302,41.127735,10281.964,0.072075845,0.061623974,0.036763721,0.028488107,0.15940972,2.00E-19,7.5365629,1884.1461,0.034952094,0.033582727,,
 rois\0007-4.roi.h500, (red),148,3699.99,4.4259772,2.944243,22.198523,-0.41524172,655.04486,163760.84,3.2692228,3.1280314,0.7219357,0.7211464,0.74004507,0.70121455,106.84651,26711.57,0.006537869,0.006352919,0.2094959,0.072427407,1.7547377,3.47E-06,31.005402,7751.3334,0.31803699,0.27194983,0.063950138,0.017368849,0.68748611,0.002357136,9.4646206,2366.1506,0.12907393,0.098013547,0.20819492,0.056109563,1.8569248,0.003608451,30.812843,7703.1974,0.26873337,0.24540504,0.026831013,0.003912947,0.37036449,8.25E-05,3.970989,992.74559,0.062487026,0.042600251,0.009416782,0.002638575,0.14491694,1.42E-05,1.3936832,348.42027,0.025494838,0.014801735,0.012218706,0.002013499,0.093897261,1.82E-07,1.8083687,452.09125,0.019505119,0.016875677,0.051050639,0.044977721,0.20020689,0.000123806,7.5554938,1888.87,0.034932755,0.034312901,0.04575525,0.041771077,0.15143663,0.000180064,6.7717776,1692.941,0.029223795,0.028302286,0.012878388,0.012976388,0.059670158,4.80E-05,1.9060017,476.49946,0.011912559,0.011266758,0.005963555,0.003634227,0.050216768,1.36E-08,0.88260627,220.65109,0.007153456,0.006400918,0.003995758,0.001511273,0.025593078,3.08E-10,0.59137219,147.84275,0.005428225,0.004964848,0.02378521,0.01868543,0.097193874,1.24E-08,3.5202115,880.05107,0.021314269,0.019872667,,
 rois\0007-4.roi.h501, (green),272,6799.99,12.930978,12.658035,25.470638,5.4508266,3517.2266,879304.8,3.5547755,2.0557786,0.70140951,0.70127791,0.73024315,0.66719115,190.78339,47695.754,0.010180482,0.007043122,10.587929,10.227756,25.688484,0.47930935,2879.9175,719977.77,4.9539073,3.6520596,9.0979306,9.1786833,17.165981,1.0878229,2474.6384,618658.08,3.3422165,2.5421252,1.2329093,1.1492476,4.2542949,0.00563915,335.35126,83837.667,0.7323021,0.63767786,37.867646,37.793827,61.28001,13.537235,10299.994,2574994.9,8.9257799,4.666776,9.3623312,9.416543,14.964784,3.0579915,2546.554,636637.29,2.1396595,1.4465837,0.25943748,0.25085834,0.70991886,0.009222123,70.566994,17641.714,0.12038245,0.10594888,0.72514619,0.73483461,1.5761206,0.07618054,197.23973,49309.845,0.29181974,0.18594414,0.13313037,0.13466114,0.32564875,0.019800929,36.211468,9052.8474,0.054142188,0.051942744,1.2349772,1.1009145,5.4559956,0.15717147,335.91391,83978.286,0.69216445,0.52756758,0.011434476,0.008682655,0.060889959,8.90E-12,3.1101768,777.54288,0.011150871,0.010265278,0.07140015,0.066569425,0.17745784,2.56E-05,19.420837,4855.2008,0.035694793,0.02927242,0.035154369,0.022372495,0.24479479,5.18E-21,9.5619888,2390.4925,0.041925186,0.036093781,,
 rois\0007-4.roi.h502, (blue),100,2500,9.1375194,8.4941502,34.49316,3.4137726,913.75183,228437.56,4.0591536,2.9609281,0.71386029,0.71385086,0.7321831,0.69682539,71.386017,17846.474,0.006985742,0.006363212,4.8354638,4.4328032,16.712152,9.74E-05,483.54639,120886.37,2.7923244,2.5498221,9.0635599,8.3224735,33.09359,0.013054417,906.35596,226588.58,4.5582283,3.6791899,1.078215,1.0302998,5.0648222,0.009404084,107.8215,26955.324,0.68319643,0.61789597,31.377378,32.965538,46.842705,0.39373901,3137.7385,784433,8.9497743,5.8387938,7.0160117,7.2129183,11.192205,0.002135461,701.60107,175399.97,2.2200386,1.4827112,0.15643921,0.13214068,0.49026492,0.001957607,15.643918,3910.9729,0.10975328,0.092616032,1.4537243,1.133357,13.086218,0.022929206,145.37245,36343.041,1.7646432,1.1896759,0.081528046,0.069855876,0.21838582,0.001975921,8.1528053,2038.1974,0.046579798,0.042404554,0.14606389,0.12575911,0.50733912,0.000936772,14.606388,3651.5904,0.10825527,0.06745702,0.006773967,0.003639209,0.034015931,1.96E-13,0.67739654,169.34885,0.008133829,0.007565579,0.046061028,0.040321376,0.16921572,2.34E-05,4.6061044,1151.5236,0.033494966,0.028564044,0.7693232,0.11263581,22.543623,2.10E-11,76.93232,19233.044,2.6147824,1.4803322,,
 rois\0007-4.roi.h503, (turquois),844,21100,12.78424,11.263394,48.98719,2.3466706,10789.905,2697469.7,6.1936411,2.3235856,0.6997208,0.70551175,0.73903352,0.59391159,590.56403,147640.82,0.023735845,0.008263692,8.4780666,7.2674341,34.630611,0.00133256,7155.4868,1788868.7,6.0269882,3.1562654,8.2820231,7.7211852,45.006001,0.006127629,6990.0293,1747503.6,4.1518539,3.0276852,1.1559756,1.0674248,4.6515017,0.001417655,975.64417,243910.4,0.7387393,0.64689032,32.498303,32.690735,66.549507,0.3940044,27428.555,6857129.3,10.608554,5.6735719,7.4325183,7.5429969,14.964784,0.003652934,6273.0435,1568258.5,2.7496903,1.5086665,0.20589185,0.1925319,0.70991886,0.000136999,173.77274,43443.1,0.12466031,0.09652376,0.91767882,0.6523701,50.29393,0.028571416,774.52063,193629.87,2.163477,0.7141645,0.11620087,0.11287393,0.36046723,0.000954613,98.073517,24518.337,0.056618691,0.047599253,0.76317076,0.5850628,5.4559956,0.000136037,644.11627,161028.73,0.69975017,0.33442137,0.011202592,0.007676022,0.080646597,1.25E-23,9.4549894,2363.7426,0.012030153,0.01005184,0.063714107,0.059809938,0.20054841,1.71E-07,53.774696,13443.652,0.037320858,0.030126704,0.26578922,0.044665333,43.146408,4.97E-21,224.32597,56081.421,1.8322408,0.49953061,,
 rois\0008-4.roi.h500, (red),687,17175,1.8081362,0.19142628,16.322458,-4.3679595,1242.1888,310546.68,3.1014032,2.9517493,0.72181989,0.72137713,0.74656492,0.69641364,495.89053,123972.28,0.007700705,0.007652498,0.31489479,0.12847227,2.6407614,6.79E-09,216.33263,54083.057,0.41969375,0.38470783,0.058530324,0.016095407,0.88448709,0.000985151,40.210358,10052.56,0.13596001,0.096170624,0.28013795,0.12559697,1.6140935,0.000993021,192.45477,48113.583,0.32511638,0.3065243,0.013124473,0.003856275,0.23251551,0.000318629,9.0165081,2254.1231,0.035209825,0.022692514,0.011390879,0.002964356,0.28444874,0.000322253,7.8255405,1956.3789,0.030875783,0.01971718,0.012845965,0.002776379,0.10706449,1.96E-06,8.8251772,2206.2896,0.01982792,0.018496609,0.05451441,0.048324078,0.24946284,8.41E-05,37.451401,9362.8286,0.040921283,0.038627693,0.044216033,0.041437171,0.15181689,9.53E-05,30.376394,7594.0864,0.027572557,0.026231483,0.012790228,0.009880798,0.077780858,2.25E-06,8.7868853,2196.7167,0.01318594,0.012519762,0.005108727,0.002697172,0.045604941,8.87E-09,3.5096929,877.42178,0.006057608,0.005547391,0.004455731,0.002164471,0.035727531,1.48E-11,3.0610881,765.27007,0.005603202,0.005095093,0.02363468,0.019004982,0.16617474,4.03E-09,16.237017,4059.2471,0.021483942,0.019942375,,
 rois\0008-4.roi.h501, (green),410,10250,15.425058,15.949732,24.083138,3.7888706,6324.2744,1581064.8,3.7352712,2.5005659,0.70297481,0.70266044,0.72826087,0.67944539,288.21967,72054.753,0.008207821,0.006996933,17.613323,14.308415,62.221893,0.04677356,7221.4639,1805361.5,12.858089,5.5339442,15.695309,13.910704,50.532272,0.014338208,6435.0771,1608765.5,10.430338,4.1141216,3.9526894,3.8776548,11.114404,0.059433673,1620.6025,405149.73,1.9096445,1.3149438,70.743286,72.329742,121.2892,5.2953711,29004.756,7251170.3,25.778795,9.7788319,6.6122372,6.2877622,15.175633,0.87252492,2711.0171,677752.76,2.3535527,1.6732502,0.23082413,0.22795521,0.66858941,0.000546058,94.637917,23659.419,0.10630306,0.098558441,0.43505758,0.36606055,6.5342813,0.057137407,178.37376,44593.3,0.45665711,0.24658299,0.15250501,0.14897427,0.38870025,0.002113327,62.527031,15631.728,0.063016567,0.057985218,0.73909731,0.71172899,3.2203879,0.067237675,303.02988,75757.301,0.34581829,0.25276341,0.011709581,0.009235591,0.051837284,3.04E-15,4.8009272,1200.2293,0.010919844,0.010280348,0.20926851,0.20866039,0.41845608,0.022513537,85.800079,21449.973,0.068776824,0.05467033,0.072572413,0.048764177,2.9245095,3.84E-23,29.75469,7438.6554,0.17636345,0.078802865,,
 rois\0008-4.roi.h502, (blue),150,3749.99,16.669173,15.679968,50.324936,1.1033058,2500.3757,625092.48,8.088195,5.6706748,0.7078866,0.70849568,0.72740853,0.6919468,106.18299,26545.684,0.007475053,0.00712274,11.347021,9.1939812,38.439529,0.026386974,1702.0532,425512.25,8.9290695,4.4896737,18.281645,14.952716,59.147575,0.036437664,2742.2473,685560.05,14.040802,5.5642157,2.2061684,2.0494843,7.3379898,0.094519265,330.9252,82731.116,1.4131142,1.0470053,48.792413,49.473537,104.20796,2.106843,7318.8647,1829711.1,22.833025,9.5634243,6.8577478,6.8367128,15.390408,0.085277125,1028.662,257164.92,2.924857,1.8771593,0.21306463,0.19712713,0.76436245,1.69E-05,31.959702,7989.9044,0.11626611,0.099273309,4.1660551,1.5186095,24.819365,0.24504545,624.90839,156226.69,5.196087,3.5484487,0.14881021,0.14712788,0.33607453,0.020006787,22.321531,5580.3696,0.066836485,0.057291596,0.31023915,0.29157934,2.1602423,0.011992787,46.535862,11633.94,0.25682821,0.150215,0.010789039,0.00735365,0.072838537,3.72E-10,1.6183558,404.588,0.011244998,0.010177671,0.13682124,0.13477473,0.31348884,0.001126765,20.523178,5130.7842,0.066413619,0.050279319,2.3938177,0.6181739,23.235229,2.20E-07,359.07269,89767.947,3.6639403,2.7766362,,
