,roi_name,roi_colour,  no_roi_pixels,  roi_size[um^2], Dead_Time-mean[%], Dead_Time-median,  Dead_Time-max,  Dead_Time-min,  Dead_Time-total,  Dead_Time-total_content,  Dead_Time-stddev, Dead_Time-stddev_radius2,  abs_ic-mean[], abs_ic-median,  abs_ic-max,  abs_ic-min,  abs_ic-total,  abs_ic-total_content,  abs_ic-stddev, abs_ic-stddev_radius2,  P-mean[ug/cm2], P-median,  P-max,  P-min,  P-total,  P-total_content,  P-stddev, P-stddev_radius2,  S-mean[ug/cm2], S-median,  S-max,  S-min,  S-total,  S-total_content,  S-stddev, S-stddev_radius2,  Cl-mean[ug/cm2], Cl-median,  Cl-max,  Cl-min,  Cl-total,  Cl-total_content,  Cl-stddev, Cl-stddev_radius2,K-mean[ug/cm2], K-median,  K-max,  K-min,  K-total,  K-total_content,  K-stddev, K-stddev_radius2,  Ca-mean[ug/cm2], Ca-median,  Ca-max,  Ca-min,  Ca-total,  Ca-total_content,  Ca-stddev, Ca-stddev_radius2,  Mn-mean[ug/cm2], Mn-median,  Mn-max,  Mn-min,  Mn-total,  Mn-total_content,  Mn-stddev, Mn-stddev_radius2,  Fe-mean[ug/cm2], Fe-median,  Fe-max,  Fe-min,  Fe-total,  Fe-total_content,  Fe-stddev, Fe-stddev_radius2,  Cu-mean[ug/cm2], Cu-median,  Cu-max,  Cu-min,  Cu-total,  Cu-total_content,  Cu-stddev, Cu-stddev_radius2,  Zn-mean[ug/cm2], Zn-median,  Zn-max,  Zn-min,  Zn-total,  Zn-total_content,  Zn-stddev, Zn-stddev_radius2,  Se-mean[ug/cm2], Se-median,  Se-max,  Se-min,  Se-total,  Se-total_content,  Se-stddev, Se-stddev_radius2,  Br-mean[ug/cm2], Br-median,  Br-max,  Br-min,  Br-total,  Br-total_content,  Br-stddev, Br-stddev_radius2,Pb_L-mean[ug/cm2], Pb_L-median,  Pb_L-max,  Pb_L-min,  Pb_L-total,  Pb_L-total_content,  Pb_L-stddev, Pb_L-stddev_radius2,Unnamed: 116,Unnamed: 117,sample_num
0, rois\0003-1.roi.h500, (red),759,189750.0,2.3181074,2.1216333,12.407101,-1.4784932,1759.4437,4398608.7,2.1713382,2.1124165,0.76686192,0.76691169,0.7930283,0.73779529,582.04797,1455120.5,0.007884134,0.007714586,0.42711184,0.19499885,2.9180324,2.82e-09,324.1781,810444.71,0.52248049,0.48127545,1.4278006,1.3217984,4.4705324,0.007956735,1083.7006,2709251.7,0.7911997,0.7642414,0.46599134,0.43208739,1.7845912,0.00099908,353.68729,884218.57,0.365811,0.348971,0.051022351,0.011012281,0.63094223,2.03e-07,38.725964,96814.911,0.077113951,0.069066491,1.6434799,1.6251825,3.402101,0.57489681,1247.401,3118503.0,0.43525952,0.42708075,0.034579285,0.030445959,0.16940683,1.09e-07,26.245663,65614.194,0.030592085,0.028482051,0.34059414,0.33925876,0.677486,0.10018755,258.51093,646277.37,0.09697847,0.093368336,0.21533598,0.21264388,0.40277117,0.0456159,163.44009,408600.02,0.059734416,0.058155415,0.013989139,0.012771137,0.068192258,5.45e-09,10.617754,26544.392,0.012933268,0.012373854,0.006354348,0.00416667,0.030822389,8.76e-09,4.8229513,12057.375,0.006218505,0.005740452,0.005151345,0.00262523,0.038714468,1.27e-08,3.9098685,9774.6769,0.006319513,0.005832097,0.90368716,0.88894141,1.5662462,0.46209645,685.89838,1714746.4,0.20196427,0.19823129,, ,0003
1, rois\0004-2.roi.h500, (red),117,2925.01,5.2516972,3.4439743,19.061619,-2.3156524,614.44849,153612.58,4.2300113,3.9834325,0.72437564,0.72421688,0.74664682,0.70443743,84.751923,21188.048,0.00782205,0.007873446,0.25586467,0.071009569,1.5177854,6.38e-10,29.936167,7484.0628,0.38581475,0.34887972,0.10249936,0.017341444,1.1176007,0.002372749,11.992424,2998.1147,0.21991126,0.16199955,0.19837322,0.02841494,1.0187018,0.001909123,23.209669,5802.4331,0.25399822,0.24696699,0.074419425,0.004051118,1.1390424,0.000178145,8.7070732,2176.7744,0.17114654,0.081245695,0.016429401,0.002741327,0.14994283,0.000528365,1.9222399,480.56134,0.03558641,0.02629483,0.012274171,0.003058253,0.077667609,1.22e-07,1.4360783,359.02053,0.018948,0.016779179,0.065345298,0.059946179,0.20406501,0.000158306,7.6454015,1911.3554,0.047286072,0.045869368,0.047343021,0.047881812,0.12669535,0.00010201,5.539135,1384.7873,0.028781488,0.026606868,0.013543639,0.013505685,0.049856246,5e-05,1.5846057,396.15256,0.011935329,0.01152231,0.004770816,0.002606374,0.027359098,5.93e-09,0.55818534,139.54677,0.005834561,0.005277894,0.00484825,0.002233064,0.023558727,5.92e-13,0.5672453,141.81171,0.005864695,0.005493625,0.026502489,0.02224504,0.08703731,9.21e-07,3.1007915,775.2,0.022156844,0.021835707,,,0004
3, rois\0007-4.roi.h500, (red),148,3699.99,4.4259772,2.944243,22.198523,-0.41524172,655.04486,163760.84,3.2692228,3.1280314,0.7219357,0.7211464,0.74004507,0.70121455,106.84651,26711.57,0.006537869,0.006352919,0.2094959,0.072427407,1.7547377,3.47e-06,31.005402,7751.3334,0.31803699,0.27194983,0.063950138,0.017368849,0.68748611,0.002357136,9.4646206,2366.1506,0.12907393,0.098013547,0.20819492,0.056109563,1.8569248,0.003608451,30.812843,7703.1974,0.26873337,0.24540504,0.026831013,0.003912947,0.37036449,8.25e-05,3.970989,992.74559,0.062487026,0.042600251,0.009416782,0.002638575,0.14491694,1.42e-05,1.3936832,348.42027,0.025494838,0.014801735,0.012218706,0.002013499,0.093897261,1.82e-07,1.8083687,452.09125,0.019505119,0.016875677,0.051050639,0.044977721,0.20020689,0.000123806,7.5554938,1888.87,0.034932755,0.034312901,0.04575525,0.041771077,0.15143663,0.000180064,6.7717776,1692.941,0.029223795,0.028302286,0.012878388,0.012976388,0.059670158,4.8e-05,1.9060017,476.49946,0.011912559,0.011266758,0.005963555,0.003634227,0.050216768,1.36e-08,0.88260627,220.65109,0.007153456,0.006400918,0.003995758,0.001511273,0.025593078,3.08e-10,0.59137219,147.84275,0.005428225,0.004964848,0.02378521,0.01868543,0.097193874,1.24e-08,3.5202115,880.05107,0.021314269,0.019872667,,,0007
7, rois\0008-4.roi.h500, (red),687,17175.0,1.8081362,0.19142628,16.322458,-4.3679595,1242.1888,310546.68,3.1014032,2.9517493,0.72181989,0.72137713,0.74656492,0.69641364,495.89053,123972.28,0.007700705,0.007652498,0.31489479,0.12847227,2.6407614,6.79e-09,216.33263,54083.057,0.41969375,0.38470783,0.058530324,0.016095407,0.88448709,0.000985151,40.210358,10052.56,0.13596001,0.096170624,0.28013795,0.12559697,1.6140935,0.000993021,192.45477,48113.583,0.32511638,0.3065243,0.013124473,0.003856275,0.23251551,0.000318629,9.0165081,2254.1231,0.035209825,0.022692514,0.011390879,0.002964356,0.28444874,0.000322253,7.8255405,1956.3789,0.030875783,0.01971718,0.012845965,0.002776379,0.10706449,1.96e-06,8.8251772,2206.2896,0.01982792,0.018496609,0.05451441,0.048324078,0.24946284,8.41e-05,37.451401,9362.8286,0.040921283,0.038627693,0.044216033,0.041437171,0.15181689,9.53e-05,30.376394,7594.0864,0.027572557,0.026231483,0.012790228,0.009880798,0.077780858,2.25e-06,8.7868853,2196.7167,0.01318594,0.012519762,0.005108727,0.002697172,0.045604941,8.87e-09,3.5096929,877.42178,0.006057608,0.005547391,0.004455731,0.002164471,0.035727531,1.48e-11,3.0610881,765.27007,0.005603202,0.005095093,0.02363468,0.019004982,0.16617474,4.03e-09,16.237017,4059.2471,0.021483942,0.019942375,,,0008
11, rois\0009-2.roi.h500, (red),787,787.004,3.6565311,1.6702354,23.445965,-4.4527292,2877.6885,28777.041,3.8863084,3.6795748,0.72457066,0.72458273,0.7620104,0.69718874,570.23724,5702.399,0.00810628,0.007905535,0.24251703,0.077530622,2.7989566,9.4e-08,190.86087,1908.6184,0.37712812,0.32894144,0.053028679,0.015281464,0.80282593,0.000637631,41.733551,417.33774,0.12626548,0.089910521,0.19081842,0.028991198,1.3839926,0.001462439,150.17415,1501.7483,0.25034297,0.23682523,0.019169984,0.003524237,0.45194501,4.31e-05,15.086779,150.86851,0.051568744,0.033199698,0.012318333,0.002724629,0.23607123,0.000231684,9.6945305,96.945756,0.031194277,0.022138536,0.014530195,0.003083561,0.15183055,9.29e-08,11.435264,114.3532,0.021284969,0.019387394,0.05760215,0.051216565,0.20855279,0.000112651,45.332924,453.33114,0.041081695,0.039647471,0.047895304,0.044429731,0.16432573,0.00018657,37.693607,376.93788,0.029410923,0.027967092,0.013722262,0.011129046,0.066490047,8.83e-09,10.799417,107.99473,0.013926915,0.013200163,0.00499975,0.002550638,0.034527738,9.7e-11,3.9348018,39.348227,0.005939605,0.005576368,0.004726606,0.002228494,0.031382419,2.41e-12,3.7198374,37.198569,0.005926734,0.005501195,0.023529297,0.018660977,0.15457444,7.08e-12,18.517559,185.17647,0.021992012,0.020231008,,,0009
13, rois\0010-4.roi.h500, (red),266,266.001,3.582319,2.0067632,14.298349,1.3281941,952.89661,9529.0111,2.8923988,2.735745,0.72439374,0.72431636,0.74574959,0.70849746,192.68874,1926.896,0.007152071,0.007067139,0.32120021,0.13149919,2.04549,1.76e-06,85.439255,854.39637,0.42126046,0.37887397,0.11961585,0.020210033,1.4448292,0.001747691,31.817823,318.17958,0.24000977,0.20353887,0.29690331,0.16982079,1.7500892,0.001544832,78.97628,789.76634,0.34301934,0.30813686,0.12777183,0.009517843,1.9193881,2.85e-05,33.987301,339.87459,0.22777316,0.14269398,0.026681783,0.003001785,0.32463396,4.95e-05,7.0973549,70.97386,0.055022776,0.041083026,0.013370633,0.003026221,0.080194712,2.09e-06,3.5565882,35.566042,0.018427102,0.017414753,0.065867862,0.059830602,0.77621657,0.00018585,17.520845,175.2093,0.061269908,0.04355606,0.046476208,0.044052988,0.1538156,0.000123387,12.362676,123.62727,0.029653089,0.028403188,0.014087644,0.011150083,0.057493437,9.83e-06,3.7473147,37.4733,0.01351537,0.013127374,0.005266332,0.002583353,0.034070898,4.03e-08,1.4008447,14.008505,0.006214934,0.005777756,0.00459864,0.002356801,0.033357967,3.5e-14,1.2232381,12.232436,0.005662075,0.005286771,0.025213006,0.020173887,0.12907319,4.48e-07,6.7066607,67.066895,0.02197704,0.019571462,,,0010
17, rois\0011-4.roi.h500, (red),167,167.001,1.9031298,0.2048552,15.710258,0.041568279,317.82263,3178.2375,3.207886,2.9342028,0.72604147,0.72523963,0.74676806,0.70162606,121.24892,1212.4933,0.007637321,0.007520346,0.31708911,0.11521538,1.755798,4.05e-05,52.953876,529.54061,0.42508358,0.3882851,0.13862174,0.021761693,2.5639038,0.001484438,23.14983,231.49909,0.28647303,0.20869831,0.2189883,0.03116806,1.3213755,0.001364427,36.571045,365.7117,0.29816002,0.27484433,0.29953831,0.20648187,1.6234028,2.35e-05,50.022892,500.23066,0.30242889,0.19343694,0.084198062,0.019744279,1.0794994,4.29e-06,14.061075,140.61124,0.13677905,0.086402717,0.015877026,0.004666094,0.11605213,1.57e-07,2.651463,26.514724,0.021093784,0.018156608,0.19656896,0.12519687,5.5396881,0.004252335,32.827015,328.27127,0.51367881,0.13691782,0.048223113,0.042765122,0.14884743,6.08e-05,8.0532637,80.532871,0.029103605,0.028546371,0.015962098,0.014306136,0.057283137,3.64e-06,2.6656709,26.656794,0.014210836,0.013684419,0.00520811,0.002774113,0.02774832,9.45e-09,0.86975425,8.6975733,0.006337001,0.005592986,0.005413792,0.002507493,0.035103206,2.24e-09,0.90410334,9.0410631,0.006333647,0.005703564,0.087965002,0.046948083,2.8776736,2.72e-07,14.690152,146.90205,0.23159044,0.073704575,,,0011
21, rois\0012-1.roi.h500, (red),3431,308.789,12.596888,12.522453,20.857096,4.1576805,43219.938,38897.859,2.1470293,1.8704709,0.72562343,0.72550488,0.75659579,0.69465023,2489.6116,2240.6484,0.007885643,0.007562212,38.596424,37.993797,73.356209,17.657679,132424.23,119181.68,7.7972816,6.4075883,24.310738,23.928169,45.194618,9.2280302,83410.148,75068.99,5.1385825,4.0346553,2.460693,2.3830142,8.338273,0.050894421,8442.6211,7598.3599,1.0140533,0.96750614,96.341169,96.487396,133.44202,64.520645,330547.19,297491.35,11.742154,6.0390338,4.6448671,4.4996881,11.826492,0.27108228,15936.526,14342.859,1.5056486,1.1545696,0.15806293,0.15006921,0.52477014,7.030000000000001e-21,542.3139,488.08161,0.081778211,0.078074553,0.37639333,0.36314046,1.1329906,0.039778471,1291.4045,1162.2628,0.13898205,0.11834959,0.27158848,0.26406756,0.61352867,0.04255094,931.81964,838.6365,0.081396848,0.075322891,0.66771274,0.65454519,1.6849605,0.2397888,2290.9226,2061.8264,0.15981288,0.12359753,0.010020485,0.007434927,0.062890455,5.1399999999999994e-30,34.380272,30.942198,0.009919691,0.009385126,0.1984228,0.19579497,0.41834986,0.043774121,680.78864,612.70864,0.056404392,0.050748764,0.03614194,0.027264938,0.27082175,7.39e-32,124.00303,111.60249,0.036590634,0.034849138,,,0012
22, rois\0013-4.roi.h500, (red),53,4.76986,12.738519,12.484056,26.945019,2.3583055,675.14148,607.6101,4.9715786,3.977611,0.72888485,0.72853827,0.75356579,0.71127331,38.630898,34.76682,0.00775108,0.007384373,4.5911745,4.3580461,14.149023,0.92200053,243.33226,218.99281,2.2192985,1.9950278,7.1258228,5.9515333,18.613707,0.711963,377.66861,339.8921,3.8501454,2.7949247,1.1962611,1.0704492,4.1837749,0.049740691,63.40184,57.060032,0.84513196,0.73484661,23.851386,24.115202,28.438736,17.889942,1264.1234,1137.6788,2.5897326,2.4298979,7.3457818,7.2237477,9.5864687,4.2218838,389.32639,350.38384,1.1166795,1.0220626,0.25980221,0.24951193,0.6746912,0.053586531,13.76952,12.392214,0.12394073,0.12007826,8.0202019,7.713089,12.498644,3.1855145,425.07077,382.55277,2.1043489,1.6893174,0.1489562,0.15192574,0.29854602,0.059922688,7.8946791,7.105009,0.04663592,0.044291311,0.44123814,0.44717169,0.60882998,0.21148354,23.385626,21.046462,0.083582604,0.082359868,0.011122093,0.009101528,0.03934006,2.7e-07,0.58947092,0.53050876,0.010150217,0.009014608,0.056998805,0.052370932,0.13061179,0.006166952,3.020937,2.7187658,0.027210918,0.02497279,4.6980031,2.0109804,26.278049,0.49479395,248.99419,224.08839,5.8149271,3.555304,,,0013
26, rois\0014-4.roi.h500, (red),172,15.4798,12.439927,11.364049,29.153902,3.5161495,2139.667,1925.675,5.460807,3.1412925,0.73186748,0.73174733,0.75230199,0.7140221,125.88123,113.29158,0.007912397,0.007931879,6.5861506,6.1715908,15.619178,0.91568166,1132.8177,1019.5225,2.8186667,2.6294181,10.456279,10.076222,19.103426,3.144974,1798.4801,1618.6103,2.8725904,2.7259572,1.7216037,1.5743542,4.374332,0.029159501,296.11581,266.5007,0.93533375,0.8865144,41.677139,41.301571,53.577843,31.529205,7168.4688,6451.5351,3.8959768,3.300366,4.9456376,4.8522687,8.3376923,2.4787924,850.64948,765.57449,1.2016124,1.0373278,0.20189025,0.19338189,0.45292327,0.000348858,34.725128,31.252193,0.098935577,0.095111254,8.0178478,5.522069,31.964911,0.71809036,1379.0698,1241.1463,7.0975409,2.7391868,0.14657312,0.14012904,0.31838498,0.001349008,25.210571,22.689216,0.061485297,0.056857406,0.26731898,0.26282144,0.62539816,0.098115489,45.978874,41.380426,0.09368524,0.075769953,0.009506903,0.006789308,0.044047754,2.26e-13,1.6351868,1.471649,0.009642874,0.009418231,0.12576181,0.12387836,0.24114443,0.039184663,21.631027,19.467668,0.042638646,0.041098932,0.94386243,0.64512342,3.9064264,0.005450383,162.34435,146.10796,0.88810164,0.39777266,,,0014
