,treatment,plant,sample_num,bg_num_red,lead_no_background,potassium_no_background,copper,selenium,adjusted_lead
0,Control,Brocolli,13,10,1.723704897,27.984396333333336,0.14040804333333332,0.009351308666666667,0.061595214578447986
1,Control,Mustard,14,11,0.26854854733333333,45.239584666666666,0.1274777,0.008506556666666667,0.005936140866722075
2,Control,Arabidopsis,12,9,0.012612642999999996,96.341169,0.27158848,0.010020485,0.0001309164413398388
3,Control+Pb,Brocolli,59,48,,,,,
4,Control+Pb,Mustard,26,20,5.9881782480000005,59.1939275,0.164134315,0.0161054565,0.10116203639300671
5,Control+Pb,Mustard,60,56,5.3996392769999995,22.248185999999997,0.293471265,0.0170281145,0.24270020382785365
6,Control+Pb,Arabidopsis,27,21,12.63120983,23.6665645,0.19583681,0.0198547215,0.5337153954051929
7,Control+Pb,Arabidopsis,65,65,6.121525350000001,20.504687365000002,0.115967978,0.0132444775,0.2985427303051202
14,Control-Pen,Brocolli,85,77,0.08603969933333333,118.51867666666668,0.16228455,0.013101519666666665,0.0007259589944234667
16,Control-Pen,Arabidopsis,83,75,2.085808528,51.72651200000001,0.35375906666666673,0.011040931333333332,0.04032378073356269
15,Control-Pen,Mustard,84,76,0.3264435306666667,52.289216,0.11210071666666667,0.011363617333333334,0.0062430373916232875
10,Control-SA,Arabidopsis,80,72,0.688266189,0.432777405,0.10663987,0.0094559125,1.590346864342421
9,Control-SA,Mustard,81,73,0.03838389199999999,17.09594,0.0864305125,0.0074447125,0.0022452051188761772
8,Control-SA,Brocolli,82,74,0.017545129666666662,48.624152333333335,0.13428625333333333,0.009829964333333333,0.00036083157905539347
19,Pb+Pen,Arabidopsis,42,37,2.87903241,29.17603337,0.25632413,0.012377366,0.09867799277198319
18,Pb+Pen,Mustard,64,52,26.992642805,38.76093602,0.20731075,0.1064896065,0.6963877959776885
17,Pb+Pen,Brocolli,43,38,6.295269891999999,29.804053566666663,0.30191043,0.018854518666666667,0.21122193589937482
11,Pb+SA,Brocolli,41,35,5.804669660000001,4.15555132,0.28847214,0.016528045499999998,1.3968470638451895
12,Pb+SA,Mustard,40,36,7.44596614,41.349208049999994,0.28566585333333333,0.02288715566666667,0.18007518139153336
13,Pb+SA,Arabidopsis,39,34,16.0537632,6.2702121900000005,0.45592218500000004,0.0348860545,2.5603221571358015
21,Pb+Suc,Mustard,63,51,10.983458143666667,15.746755130000002,0.20813575966666667,0.031635382,0.6975061244676042
20,Pb+Suc,Brocolli,62,58,8.847296386666665,31.578287236666668,0.22701613333333334,0.026664083333333335,0.2801702423047744
22,Pb+Suc,Arabidopsis,65,53,3.2557179950000004,20.348584275,0.115967978,0.0132444775,0.1599972730781046
