,roi_name,roi_colour,  no_roi_pixels,  roi_size[um^2], Dead_Time-mean[%], Dead_Time-median,  Dead_Time-max,  Dead_Time-min,  Dead_Time-total,  Dead_Time-total_content,  Dead_Time-stddev, Dead_Time-stddev_radius2,  abs_ic-mean[], abs_ic-median,  abs_ic-max,  abs_ic-min,  abs_ic-total,  abs_ic-total_content,  abs_ic-stddev, abs_ic-stddev_radius2,  P-mean[ug/cm2], P-median,  P-max,  P-min,  P-total,  P-total_content,  P-stddev, P-stddev_radius2,  S-mean[ug/cm2], S-median,  S-max,  S-min,  S-total,  S-total_content,  S-stddev, S-stddev_radius2,  Cl-mean[ug/cm2], Cl-median,  Cl-max,  Cl-min,  Cl-total,  Cl-total_content,  Cl-stddev, Cl-stddev_radius2,K-mean[ug/cm2], K-median,  K-max,  K-min,  K-total,  K-total_content,  K-stddev, K-stddev_radius2,  Ca-mean[ug/cm2], Ca-median,  Ca-max,  Ca-min,  Ca-total,  Ca-total_content,  Ca-stddev, Ca-stddev_radius2,  Mn-mean[ug/cm2], Mn-median,  Mn-max,  Mn-min,  Mn-total,  Mn-total_content,  Mn-stddev, Mn-stddev_radius2,  Fe-mean[ug/cm2], Fe-median,  Fe-max,  Fe-min,  Fe-total,  Fe-total_content,  Fe-stddev, Fe-stddev_radius2,  Cu-mean[ug/cm2], Cu-median,  Cu-max,  Cu-min,  Cu-total,  Cu-total_content,  Cu-stddev, Cu-stddev_radius2,  Zn-mean[ug/cm2], Zn-median,  Zn-max,  Zn-min,  Zn-total,  Zn-total_content,  Zn-stddev, Zn-stddev_radius2,  Se-mean[ug/cm2], Se-median,  Se-max,  Se-min,  Se-total,  Se-total_content,  Se-stddev, Se-stddev_radius2,  Br-mean[ug/cm2], Br-median,  Br-max,  Br-min,  Br-total,  Br-total_content,  Br-stddev, Br-stddev_radius2,Pb_L-mean[ug/cm2], Pb_L-median,  Pb_L-max,  Pb_L-min,  Pb_L-total,  Pb_L-total_content,  Pb_L-stddev, Pb_L-stddev_radius2,Unnamed: 116,Unnamed: 117,sample_num,lead_no_background,potassium_no_background,adjusted_lead
2, rois\0004-2.roi.h501, (green),205,5125.01,11.571338,11.867386,22.049921,3.0969203,2372.1238,593032.78,3.6479735,2.2448565,0.70922662,0.70903522,0.73062158,0.69009584,145.39143,36347.968,0.007652857,0.007148286,28.537476,27.972984,54.461315,4.0168395,5850.1826,1462549.9,11.664596,6.4557587,20.024286,20.359819,50.45311,2.2742922,4104.978,1026247.6,7.6368575,5.2050269,1.9231357,1.9156464,5.2916803,0.000789934,394.24283,98560.985,1.037418,0.86495236,68.72643,71.652359,113.48817,17.87454,14088.917,3522239.6,23.809981,10.272856,4.6754265,4.4214287,14.546741,0.013771213,958.4624,239616.29,2.316616,1.4740868,0.13030799,0.12225583,0.3649621,0.000372804,26.71315,6678.3035,0.0763673,0.06433215,0.3272237,0.27676174,1.3898848,0.000742299,67.080879,16770.263,0.22324657,0.15896392,0.21225474,0.20633817,0.43588856,0.025520714,43.512211,10878.087,0.086280634,0.066827262,0.47847408,0.47198573,1.0761292,0.079268806,98.087189,24521.867,0.18017453,0.12469756,0.008354829,0.005735816,0.036635775,2.78e-16,1.7127398,428.18621,0.008326685,0.008003667,0.20062312,0.19641684,0.46524197,0.053399302,41.127735,10281.964,0.072075845,0.061623974,0.036763721,0.028488107,0.15940972,2e-19,7.5365629,1884.1461,0.034952094,0.033582727,,,0004,0.010261231999999999,68.65201057499999,0.0001494673195155727
4, rois\0007-4.roi.h501, (green),272,6799.99,12.930978,12.658035,25.470638,5.4508266,3517.2266,879304.8,3.5547755,2.0557786,0.70140951,0.70127791,0.73024315,0.66719115,190.78339,47695.754,0.010180482,0.007043122,10.587929,10.227756,25.688484,0.47930935,2879.9175,719977.77,4.9539073,3.6520596,9.0979306,9.1786833,17.165981,1.0878229,2474.6384,618658.08,3.3422165,2.5421252,1.2329093,1.1492476,4.2542949,0.00563915,335.35126,83837.667,0.7323021,0.63767786,37.867646,37.793827,61.28001,13.537235,10299.994,2574994.9,8.9257799,4.666776,9.3623312,9.416543,14.964784,3.0579915,2546.554,636637.29,2.1396595,1.4465837,0.25943748,0.25085834,0.70991886,0.009222123,70.566994,17641.714,0.12038245,0.10594888,0.72514619,0.73483461,1.5761206,0.07618054,197.23973,49309.845,0.29181974,0.18594414,0.13313037,0.13466114,0.32564875,0.019800929,36.211468,9052.8474,0.054142188,0.051942744,1.2349772,1.1009145,5.4559956,0.15717147,335.91391,83978.286,0.69216445,0.52756758,0.011434476,0.008682655,0.060889959,8.9e-12,3.1101768,777.54288,0.011150871,0.010265278,0.07140015,0.066569425,0.17745784,2.56e-05,19.420837,4855.2008,0.035694793,0.02927242,0.035154369,0.022372495,0.24479479,5.1800000000000006e-21,9.5619888,2390.4925,0.041925186,0.036093781,,,0007,0.011369158999999997,37.840814987,0.0003004469910044434
5, rois\0007-4.roi.h502, (blue),100,2500.0,9.1375194,8.4941502,34.49316,3.4137726,913.75183,228437.56,4.0591536,2.9609281,0.71386029,0.71385086,0.7321831,0.69682539,71.386017,17846.474,0.006985742,0.006363212,4.8354638,4.4328032,16.712152,9.74e-05,483.54639,120886.37,2.7923244,2.5498221,9.0635599,8.3224735,33.09359,0.013054417,906.35596,226588.58,4.5582283,3.6791899,1.078215,1.0302998,5.0648222,0.009404084,107.8215,26955.324,0.68319643,0.61789597,31.377378,32.965538,46.842705,0.39373901,3137.7385,784433.0,8.9497743,5.8387938,7.0160117,7.2129183,11.192205,0.002135461,701.60107,175399.97,2.2200386,1.4827112,0.15643921,0.13214068,0.49026492,0.001957607,15.643918,3910.9729,0.10975328,0.092616032,1.4537243,1.133357,13.086218,0.022929206,145.37245,36343.041,1.7646432,1.1896759,0.081528046,0.069855876,0.21838582,0.001975921,8.1528053,2038.1974,0.046579798,0.042404554,0.14606389,0.12575911,0.50733912,0.000936772,14.606388,3651.5904,0.10825527,0.06745702,0.006773967,0.003639209,0.034015931,1.96e-13,0.67739654,169.34885,0.008133829,0.007565579,0.046061028,0.040321376,0.16921572,2.34e-05,4.6061044,1151.5236,0.033494966,0.028564044,0.7693232,0.11263581,22.543623,2.1e-11,76.93232,19233.044,2.6147824,1.4803322,,,0007,0.74553799,31.350546987,0.02378070118869534
8, rois\0008-4.roi.h501, (green),410,10250.0,15.425058,15.949732,24.083138,3.7888706,6324.2744,1581064.8,3.7352712,2.5005659,0.70297481,0.70266044,0.72826087,0.67944539,288.21967,72054.753,0.008207821,0.006996933,17.613323,14.308415,62.221893,0.04677356,7221.4639,1805361.5,12.858089,5.5339442,15.695309,13.910704,50.532272,0.014338208,6435.0771,1608765.5,10.430338,4.1141216,3.9526894,3.8776548,11.114404,0.059433673,1620.6025,405149.73,1.9096445,1.3149438,70.743286,72.329742,121.2892,5.2953711,29004.756,7251170.3,25.778795,9.7788319,6.6122372,6.2877622,15.175633,0.87252492,2711.0171,677752.76,2.3535527,1.6732502,0.23082413,0.22795521,0.66858941,0.000546058,94.637917,23659.419,0.10630306,0.098558441,0.43505758,0.36606055,6.5342813,0.057137407,178.37376,44593.3,0.45665711,0.24658299,0.15250501,0.14897427,0.38870025,0.002113327,62.527031,15631.728,0.063016567,0.057985218,0.73909731,0.71172899,3.2203879,0.067237675,303.02988,75757.301,0.34581829,0.25276341,0.011709581,0.009235591,0.051837284,3.04e-15,4.8009272,1200.2293,0.010919844,0.010280348,0.20926851,0.20866039,0.41845608,0.022513537,85.800079,21449.973,0.068776824,0.05467033,0.072572413,0.048764177,2.9245095,3.84e-23,29.75469,7438.6554,0.17636345,0.078802865,,,0008,0.048937733,70.73016152699999,0.0006918934149658188
9, rois\0008-4.roi.h502, (blue),150,3749.99,16.669173,15.679968,50.324936,1.1033058,2500.3757,625092.48,8.088195,5.6706748,0.7078866,0.70849568,0.72740853,0.6919468,106.18299,26545.684,0.007475053,0.00712274,11.347021,9.1939812,38.439529,0.026386974,1702.0532,425512.25,8.9290695,4.4896737,18.281645,14.952716,59.147575,0.036437664,2742.2473,685560.05,14.040802,5.5642157,2.2061684,2.0494843,7.3379898,0.094519265,330.9252,82731.116,1.4131142,1.0470053,48.792413,49.473537,104.20796,2.106843,7318.8647,1829711.1,22.833025,9.5634243,6.8577478,6.8367128,15.390408,0.085277125,1028.662,257164.92,2.924857,1.8771593,0.21306463,0.19712713,0.76436245,1.69e-05,31.959702,7989.9044,0.11626611,0.099273309,4.1660551,1.5186095,24.819365,0.24504545,624.90839,156226.69,5.196087,3.5484487,0.14881021,0.14712788,0.33607453,0.020006787,22.321531,5580.3696,0.066836485,0.057291596,0.31023915,0.29157934,2.1602423,0.011992787,46.535862,11633.94,0.25682821,0.150215,0.010789039,0.00735365,0.072838537,3.72e-10,1.6183558,404.588,0.011244998,0.010177671,0.13682124,0.13477473,0.31348884,0.001126765,20.523178,5130.7842,0.066413619,0.050279319,2.3938177,0.6181739,23.235229,2.2e-07,359.07269,89767.947,3.6639403,2.7766362,,,0008,2.3701830200000003,48.779288527000006,0.04858994650338271
12, rois\0009-2.roi.h501, (green),3977,3977.02,10.701621,10.927259,21.719116,2.1951556,42560.32,425605.51,3.2820529,1.964858,0.70921272,0.70900691,0.74010456,0.68204284,2820.54,28205.525,0.008114531,0.007440603,30.835041,31.395903,67.276047,2.1615798,122630.93,1226315.4,11.852979,5.9681983,21.017119,21.187244,50.004772,2.6949198,83584.992,835854.82,7.2947037,3.9271754,2.0323491,1.9405235,7.0056624,4.89e-05,8082.6538,80826.913,1.0732071,0.88419231,73.078886,76.752502,128.74084,16.32608,290634.53,2906361.2,23.905691,5.8682681,4.394949,4.3004012,13.282624,9.18e-07,17478.697,174787.96,2.0105153,1.2313026,0.1324176,0.12152425,0.55676341,9.86e-05,526.62506,5266.2732,0.081471118,0.071556332,0.32439303,0.28933123,3.1188407,0.00404548,1290.109,12901.173,0.20589429,0.1310029,0.22272904,0.2149573,0.55771601,0.014543473,885.79333,8857.9764,0.087550223,0.067109242,0.52496107,0.51612175,2.5222993,0.075776972,2087.771,20877.802,0.20007865,0.12161048,0.009601448,0.00695654,0.077544384,5.21e-26,38.184929,381.85141,0.009465746,0.008949382,0.19973091,0.19434148,0.49971518,0.01922565,794.32916,7943.3364,0.070882841,0.056098445,0.037155122,0.030017503,0.26102087,1.33e-41,147.76553,1477.6663,0.035176406,0.033300789,,,0009,0.013625824999999998,73.059716016,0.00018650257273127035
14, rois\0010-4.roi.h501, (green),2701,2701.01,8.5525438,8.4041233,22.341728,1.9038737,23100.377,231005.23,2.5611809,2.0299699,0.71147807,0.71147799,0.74141878,0.62831861,1921.7001,19217.108,0.008783773,0.007590798,7.1067025,6.5399857,30.146139,0.035841003,19195.188,191952.88,3.5940462,2.6775313,7.4090006,7.0919032,21.694162,0.62903595,20011.701,200117.99,2.8531434,2.075691,0.97125242,0.8886407,6.4876614,1.1e-05,2623.3542,26233.644,0.60895846,0.56972807,29.423457,29.487476,85.017448,10.291495,79472.758,794731.1,7.0754423,3.3090301,7.5979869,7.5011015,22.099007,2.9031031,20522.168,205222.53,2.1047385,1.1710499,0.22767342,0.21434368,0.74973339,0.00081966,614.94641,6149.4863,0.11521989,0.093000534,0.51690327,0.44690946,6.7369099,0.012063889,1396.1555,13961.619,0.32687975,0.15210232,0.11641473,0.11183248,0.33954224,0.000829126,314.43573,3144.3757,0.052109753,0.045899826,0.82217429,0.55904239,8.5922928,0.057368472,2220.6912,22207.026,0.91734282,0.42266833,0.008791424,0.005969256,0.05980286,9.96e-16,23.745626,237.45741,0.009124372,0.008590963,0.050376129,0.046411846,0.19058032,1.06e-07,136.0659,1360.6653,0.029270747,0.02398078,0.033982147,0.024261843,1.5204983,4.670000000000001e-21,91.785629,917.86186,0.04607436,0.034015993,,,0010,0.008769140999999998,29.29568517,0.00029933216953669217
15, rois\0010-4.roi.h502, (blue),592,592.003,8.6912267,7.9206648,51.937275,2.7587533,5145.207,51452.29,3.8755858,2.6002286,0.71408358,0.71362585,0.74802583,0.69696969,422.7374,4227.3935,0.007208787,0.006938308,6.3561416,5.9633379,19.918324,0.069617972,3762.8357,37628.525,3.1134367,2.6187116,8.786394,8.0467901,86.19516,1.6397547,5201.5435,52015.683,5.3124257,3.1364858,1.2088339,1.0668261,7.7640228,9.9e-07,715.62946,7156.3282,0.8290985,0.70951768,31.847733,31.120058,54.708393,16.872135,18853.855,188539.42,5.9512796,3.6082898,8.5543997,8.5317802,13.329141,2.6670632,5064.2051,50642.271,1.5803651,1.271502,0.2291711,0.22083832,0.58567023,0.003994051,135.66925,1356.6989,0.1029513,0.095274096,2.0124008,1.4357748,19.729862,0.25703484,1191.3411,11913.466,2.0999451,0.8481085,0.096546556,0.092648484,0.22832178,4.78e-05,57.155586,571.55815,0.044152885,0.041441329,0.25056814,0.24778527,0.51103461,0.0330249,148.33633,1483.3699,0.08201266,0.069218201,0.008677822,0.005728349,0.14569023,3.1000000000000002e-21,5.1372714,51.372933,0.01046082,0.008627958,0.047683388,0.046199489,0.17499703,6.34e-07,28.228563,282.28691,0.028461466,0.025047892,0.89552618,0.092696197,65.426605,1.37e-15,530.15179,5301.5385,4.1699128,1.3409597,,,0010,0.870313174,31.71996117,0.027437397206624636
18, rois\0011-4.roi.h501, (green),1439,1439.01,11.200175,11.097497,22.551214,3.7082255,16117.055,161171.08,2.904397,1.9705046,0.71622276,0.71625763,0.74549556,0.69267899,1030.6443,10306.481,0.008181546,0.007497943,21.353286,20.965286,51.051304,2.3765666,30727.361,307274.85,8.5379225,5.1347148,32.685927,32.041687,89.98819,6.7399206,47035.059,470352.12,12.84778,5.2725184,2.754831,2.6393418,7.4422002,0.003787759,3964.2053,39642.156,1.2801001,1.0509335,67.799307,69.349083,117.19554,25.28894,97563.164,975635.42,19.01184,5.910224,8.486029,8.4300823,19.365498,2.1130433,12211.401,122114.38,2.6985971,1.4612441,0.21832511,0.20816733,0.65581995,0.001698737,314.1698,3141.7092,0.10909137,0.094093752,0.32303278,0.28532082,1.5845711,0.000605375,464.84457,4648.4578,0.19871266,0.11377688,0.13684804,0.12876588,0.46114573,0.00067886,196.92442,1969.2501,0.062946729,0.05430559,0.22528173,0.21448827,2.5809228,0.02541361,324.18066,3241.8154,0.12334205,0.07382816,0.008775779,0.005961737,0.070299044,3.53e-22,12.62836,126.28389,0.009145541,0.008484182,0.13313541,0.12788309,0.39700583,0.010969779,191.58197,1915.8252,0.060312305,0.041369048,0.039179506,0.030662803,0.99186343,2.11e-25,56.379299,563.79506,0.044558986,0.036039173,,,0011,-0.048785496,67.49976869,0.0
19, rois\0011-4.roi.h502, (blue),3186,3186.01,17.295361,14.630342,91.415314,1.514262,55103.012,551032.05,9.8354854,4.9254679,0.71260341,0.7124902,0.74234504,0.61554193,2270.3513,22703.621,0.008526326,0.007635828,14.719823,11.475133,52.936695,0.013372744,46897.367,468975.13,10.593702,4.1592686,22.966197,19.132557,117.80379,0.10449729,73170.367,731705.51,15.269177,5.1795699,2.6612724,2.3810623,14.865279,0.000233426,8478.8057,84788.423,1.6688136,1.145584,57.531019,56.6143,189.8322,7.8482542,183294.05,1832944.4,21.923784,5.3242215,7.9641897,7.5709205,22.066933,1.2185799,25373.895,253739.94,3.1786034,1.5423794,0.24702431,0.23208086,1.3636432,1.3e-05,787.0191,7870.2211,0.13145782,0.11187835,5.6437167,1.8564804,60.056961,0.10577974,17980.871,179809.42,7.8171339,2.681604,0.16347152,0.15572932,0.73227149,0.002063142,520.81982,5208.2203,0.074131524,0.061695936,0.45648533,0.3410818,9.0429392,0.005515103,1454.3615,14543.672,0.6788108,0.20221454,0.015380289,0.009063293,0.50809264,1.64e-24,49.001591,490.01764,0.025825669,0.01526323,0.15784361,0.15584068,0.60344166,0.00161186,502.88943,5028.9145,0.066575154,0.049182109,4.4606731,0.8165946,138.58958,2.79e-08,14211.696,142117.53,11.467893,4.442075,,,0011,4.372708098,57.23148069,0.07640389599013186
